# x_m,y_m,w_tr_right_m,w_tr_left_m
-237.10393928372733,-39.25886313149394,4.0,4.0
-236.98049743883573,-39.08364973595319,4.0,4.0
-236.85705559364843,-38.90845156207803,4.0,4.0
-236.7336443103265,-38.73326861280706,4.0,4.0
-236.4868828672188,-38.38296360755945,4.0,4.0
-236.36350214599526,-38.20784155317117,4.0,4.0
-236.24013670695393,-38.03274233222187,4.0,4.0
-236.11672542365469,-37.85765453055155,4.0,4.0
-235.9932988576519,-37.68252486181798,4.0,4.0
-235.74630818964002,-37.332200822694055,4.0,4.0
-235.62280521368132,-37.15701406606137,4.0,4.0
-235.49927167455832,-36.98182350139966,4.0,4.0
-235.3757228541222,-36.80662151799326,4.0,4.0
-235.12851824874943,-36.456133823399654,4.0,4.0
-235.00489302871785,-36.280912811885564,4.0,4.0
-234.88126781160238,-36.10572605364038,4.0,4.0
-234.75764259689927,-35.930565935626575,4.0,4.0
-234.63400210263228,-35.75542484972378,4.0,4.0
-234.38682809071744,-35.4052682726536,4.0,4.0
-234.2633098545691,-35.23029464745755,4.0,4.0
-234.1397763385176,-35.05533243673253,4.0,4.0
-234.01622754249388,-34.88037403635968,4.0,4.0
-233.89244952860693,-34.70557167642431,4.0,4.0
-233.6444961897496,-34.3561991197716,4.0,4.0
-233.52051951466746,-34.18148429517303,4.0,4.0
-233.3964969903071,-34.00680372466023,4.0,4.0
-233.27245918354436,-33.8321497934274,4.0,4.0
-233.0241543567099,-33.482986557580375,4.0,4.0
-232.89997902342535,-33.30844680381762,4.0,4.0
-232.77577312831687,-33.133918467100685,4.0,4.0
-232.5272543577061,-32.78480851228207,4.0,4.0
-232.278720296978,-32.43572519437677,4.0,4.0
-232.0301251095441,-32.08670277168879,4.0,4.0
-231.78151463863577,-31.73772792153831,4.0,4.0
-231.5328736014033,-31.38875877788424,4.0,4.0
-231.4084843145108,-31.21425327413937,4.0,4.0
-231.2840797450523,-31.03974586561089,4.0,4.0
-231.0352553207447,-30.690729145200358,4.0,4.0
-230.78640033105077,-30.341712423857736,4.0,4.0
-230.66193463401518,-30.16719740142756,4.0,4.0
-230.53743837511146,-29.99268808855095,4.0,4.0
-230.4129573976967,-29.818176872784182,4.0,4.0
-230.16294103291375,-29.470121144891216,4.0,4.0
-230.0365040525917,-29.297360655918794,4.0,4.0
-229.90858479221225,-29.125882762373372,4.0,4.0
-229.77936662626797,-28.955314486674467,4.0,4.0
-229.5196925147369,-28.61456613783783,4.0,4.0
-229.38928240950162,-28.444580167838,4.0,4.0
-229.25847498878935,-28.274841583381672,4.0,4.0
-229.127377224237,-28.105331353702255,4.0,4.0
-228.73298368107353,-27.597645577400822,4.0,4.0
-228.46974901938432,-27.259688869525633,4.0,4.0
-228.33797887446394,-27.090751430366,4.0,4.0
-228.20616288466934,-26.921802572295356,4.0,4.0
-228.07434689401163,-26.752859422022045,4.0,4.0
-227.8106232187445,-26.41493125730756,4.0,4.0
-227.67866968466032,-26.245910085420594,4.0,4.0
-227.54670086862544,-26.07688320166563,4.0,4.0
-227.41464036832284,-25.907852514457876,4.0,4.0
-227.28257987080386,-25.738823729466834,4.0,4.0
-227.1505346562207,-25.5697816234472,4.0,4.0
-227.01847415969397,-25.40080231469733,4.0,4.0
-226.88642894265763,-25.231866775504365,4.0,4.0
-226.62233851800738,-24.89406991160106,4.0,4.0
-226.49026275033114,-24.725212393667313,4.0,4.0
-226.35818698617084,-24.556381515535456,4.0,4.0
-226.22618762938052,-24.387537319530573,4.0,4.0
-226.09409658094438,-24.21870263603597,4.0,4.0
-225.96202080940395,-24.04988888527929,4.0,4.0
-225.8299144760503,-23.88112080377887,4.0,4.0
-225.6978234252927,-23.712371752612356,4.0,4.0
-225.5657323754647,-23.54364553834385,4.0,4.0
-225.43368716973563,-23.374938353071904,4.0,4.0
-225.16953562837125,-23.037579164692673,4.0,4.0
-225.0374598535535,-22.86892906762234,4.0,4.0
-224.90535351318044,-22.700296094831813,4.0,4.0
-224.77324717041174,-22.531666929450914,4.0,4.0
-224.64114082533817,-22.36303395525497,4.0,4.0
-224.50904975885513,-22.194406690762936,4.0,4.0
-224.37694340787675,-22.025792745161098,4.0,4.0
-224.24477592709243,-21.85719783067301,4.0,4.0
-224.11260844113323,-21.688621943995287,4.0,4.0
-223.98044095096674,-21.52005366830125,4.0,4.0
-223.84824289507725,-21.35148919898044,4.0,4.0
-223.71604483657615,-21.182913311337522,4.0,4.0
-223.5838620569388,-21.01430126694202,4.0,4.0
-223.31943536156214,-20.67706195169854,4.0,4.0
-223.18716088116142,-20.508427070126064,4.0,4.0
-223.05484055312476,-20.33976744865965,4.0,4.0
-222.9225355037896,-20.171107827439684,4.0,4.0
-222.79021517216788,-20.002461527783822,4.0,4.0
-222.657894840647,-19.833815226525097,4.0,4.0
-222.52554394578394,-19.665159407704277,4.0,4.0
-222.39319304988717,-19.496503593690875,4.0,4.0
-222.12745213012607,-19.160143441323523,4.0,4.0
-221.99320635533306,-18.993274507485605,4.0,4.0
-221.8580131410378,-18.82725429578894,4.0,4.0
-221.7226059889874,-18.661194119924158,4.0,4.0
-221.58700018156296,-18.495183422389335,4.0,4.0
-221.4511193127751,-18.32940107960166,4.0,4.0
-221.17876160330945,-17.998270270885737,4.0,4.0
-221.04225419702428,-17.833062621879957,4.0,4.0
-220.9056092589708,-17.66798627931598,4.0,4.0
-220.76891848084188,-17.502879487781485,4.0,4.0
